ID,CountryName,CountryID,PerRuralPop,PerAgLandArea,PerArabLandArea,AvePrecip_mmperyr,PerAgEmploy,PerForestLand
59,Eritrea,ERI,77.807,75.16831683,6.831683168,384,null,15.08118812
60,Estonia,EST,32.378,22.78839349,14.8226783,626,3.900000095,52.68223638
61,Ethiopia,ETH,80.972,36.259,15.2194,848,30.13333225,12.3772
62,FaeroeIslands,FRO,58.257,2.148997135,2.148997135,null,null,0.05730659
63,Fiji,FJI,46.646,23.26217843,9.031198686,2592,null,54.87794198
64,Finland,FIN,15.914,7.431965514,7.375146709,536,3.900000095,73.11198131
65,France,FRA,20.711,52.54923232,33.39892555,867,2.799999952,30.40771912
66,FrenchPolynesia,PYF,44.024,12.43169399,0.683060109,null,null,42.34972678
67,Gabon,GAB,13.08,20.02561416,1.261303217,1831,null,86.93289867
68,Gambia,GMB,40.985,59.7826087,43.80764163,836,31.5,47.74703557
69,Georgia,GEO,46.532,36.71607426,6.012375881,1026,null,40.61591596
70,Germany,DEU,24.906,47.90554886,34.03178844,700,1.299999952,32.74453936
71,Ghana,GHA,46.608,68.99885734,20.68500776,1187,44.70000076,40.66010372
72,Greece,GRC,22.322,63.12645462,19.75433152,652,13,30.74786656
73,Greenland,GRL,13.955,0.574735047,0.002192715,null,4.599999905,0.000535997
74,Grenada,GRD,64.42,32.35294118,8.823529412,2350,null,49.97058824
75,Guam,GUM,5.563,33.33333333,1.851851852,null,null,46.2962963
76,Guatemala,GTM,48.885,34.72097798,9.958566629,1996,34.19999949,34.0537514
77,Guinea,GIN,63.32,59.01025558,12.20901839,1651,null,26.33892235
78,Guinea-Bissau,GNB,51.45,57.9658606,10.6685633,1577,null,71.19487909
79,Guyana,GUY,71.541,8.524257049,2.133604267,2387,null,84.10464821
80,Haiti,HTI,42.564,66.76342525,37.85679729,1440,null,3.606676343
81,Honduras,HND,45.863,28.9123246,9.116096166,1976,36.86666616,44.25775315
82,HongKong,HKG,0,4.857142857,3.079365079,null,null,null
83,Hungary,HUN,29.229,58.9859715,48.58426304,589,4.599999905,22.70186678
84,Iceland,ISL,5.958,18.67531172,1.212302577,1940,4.199999809,0.451870324
85,India,IND,67.634,60.63520999,52.75198244,1083,48.39999962,23.59311043
86,Indonesia,IDN,46.997,31.46442036,12.97217331,2702,34.29999924,51.37157272
87,Iran,IRN,27.145,28.34484664,9.217401983,228,17.89999962,6.565337263
88,Iraq,IRQ,30.639,21.25161171,10.46732056,216,null,1.89952109
89,Ireland,IRL,37.048,64.98766149,16.18522282,1118,6.099999905,10.698021
90,IsleofMan,IMN,47.862,68.07017544,39.98245614,null,null,6.070175439
91,Israel,ISL,7.924,24.04343808,13.49815157,435,1.100000024,7.319778189
92,Italy,ITA,31.179,46.33847828,23.41855352,832,3.5,31.05867954
93,Jamaica,JAM,45.444,40.99722992,11.08033241,2051,17.96666718,31.05632502
94,Japan,JPN,6.979,12.44513935,11.64605583,1668,3.833333333,68.47408967
95,Jordan,JOR,16.553,11.90132913,2.341368176,111,1.799999952,1.09822032
96,Kazakhstan,KAZ,46.71,80.37711598,10.85402082,250,25.40000025,1.225691744
97,Kenya,KEN,74.803,48.54693046,10.24938211,630,null,7.56088133
98,Kiribati,KIR,55.827,41.97530864,2.469135802,null,null,15
99,Korea,KOR,39.285,21.8420397,19.51665144,1054,null,44.94643302
101,Kosovo,KOS,null,null,null,null,4.599999905,null
102,Kuwait,KWT,1.674,8.61952862,0.58174336,121,1.200000048,0.350729517
103,Kyrgyz,KGZ,64.415,55.19186653,6.653632256,533,30.90000057,3.446298227
104,Laos,LAO,62.449,10.1169844,6.307047949,1834,null,78.8297227
105,Latvia,LVA,32.579,30.03698344,18.99556883,641,7.300000191,53.94436532
106,Lebanon,LBN,12.33,64.32062561,12.67513848,661,null,13.39784946
107,Lesotho,LSO,73.211,74.1798419,9.194115064,788,null,1.515151515
108,Liberia,LBR,50.692,28.03156146,5.1910299,2391,null,44.32101329
109,Libya,LBY,21.641,8.726712664,0.976770444,56,null,0.123327688
110,Liechtenstein,LIE,85.695,35,17.91666667,null,null,43.125
111,Lithuania,LTU,33.478,46.13322696,35.82912348,656,9,34.68724554
112,Luxembourg,LUX,10.128,50.53281853,24.08365508,934,1.299999952,33.47490347
113,Macedonia,MKD,42.971,49.96034893,16.4023262,619,18,39.57176844
114,Madagascar,MDG,65.532,71.18425576,6.015847461,1513,75.30000305,21.52126467
115,Malawi,MWI,83.898,61.4128129,39.42158111,1181,64.09999847,33.9520577
116,Malaysia,MYS,25.99,23.85938213,2.899609395,2875,12.19999981,67.42474509
117,Maldives,MDV,55.506,26.33333333,13,1972,null,3.333333333
118,Mali,MLI,60.857,33.76605283,5.49996312,282,null,4.05838435
119,Malta,MLT,4.723,31.96875,28.17708333,560,1.200000048,1.09375
120,MarshallIslands,MHL,27.576,63.88888889,11.11111111,null,null,70.22222222
121,Mauritania,MRT,40.745,38.52818473,0.404256007,92,null,0.228000388
122,Mauritius,MUS,60.186,42.36453202,37.60262726,2041,8,18.95566502
123,Mexico,MEX,21.029,54.89081509,11.84907019,758,13.39999962,34.11342884
124,Micronesia,FM,77.622,31.42857143,2.857142857,null,null,91.69047619
125,Moldova,MDA,55.075,74.84793187,55.18813827,450,27.59999975,12.02551955
126,Monaco,MCO,0,null,null,null,null,null
127,Mongolia,MNG,28.778,72.93564458,0.391445025,241,34,8.267875074
128,Montenegro,MNE,36.168,16.58959108,8.743494424,null,5.699999809,61.48698885
129,Morocco,MAR,40.301,68.11785794,17.84733737,346,39.5,12.67308985
130,Mozambique,MOZ,68.066,63.51890943,7.184821588,1032,null,49.03380045
131,Myanmar,MMR,66.449,19.27328964,16.48822024,2091,null,46.97090409
132,Namibia,NAM,54.322,47.13891824,0.971711062,285,29.53333282,8.674464648
133,Nepal,NPL,81.757,28.74782002,14.86966632,1500,66.5,25.3644925
134,Netherlands,NLD,10.09,54.87377487,30.21888123,778,2,11.10277361
135,NewCaledonia,NCL,30.337,10.07658643,0.340991977,null,null,45.89715536
136,NewZealand,NZL,13.749,42.17842087,1.933082678,1732,6.700000127,38.55303634
137,Nicaragua,NIC,41.541,42.08908094,12.57271065,2280,null,25.87668273
138,Niger,NER,81.531,35.35328018,12.47335596,151,null,0.93092287
139,Nigeria,NGA,53.058,77.73642083,37.69704023,1150,null,9.027306565
140,NorthernMarianaIslands,MNP,10.728,6.52173913,2.173913043,null,null,65.19565217
100,NorthKorea,PRK,17.64,18.14684095,15.42905746,1274,6.23333327,63.75857456
141,Norway,NOR,19.792,2.702870676,2.223329546,1414,2.099999905,33.14487536
142,Oman,OMN,22.822,4.744749596,0.116639742,125,null,0.006462036
143,Pakistan,PAK,61.697,47.06309672,39.26681196,494,43.5,2.07684724
144,Palau,PLW,13.548,10.86956522,2.173913043,null,null,87.60869565
145,Panama,PAN,33.708,30.36050578,7.582279616,2928,16.85000038,62.76836158
146,PapuaNewGuinea,PNG,87.015,2.627743674,0.662456388,3142,null,74.12312856
147,Paraguay,PRY,40.584,54.32922225,11.09153452,1130,22.79999924,41.0249182
148,Peru,PER,21.715,19.0109375,3.212239583,1738,null,58.18421875
149,Philippines,PHL,55.512,41.72116578,18.5800047,2348,30.39999962,24.5497535
150,Poland,POL,39.432,47.05920773,35.7204951,600,11.19999981,30.60348922
151,Portugal,PRT,37.092,39.75982533,12.25708107,854,5.5,35.11391393
152,PuertoRico,PRI,6.364,22.2886133,6.749342352,2054,1.600000024,54.79443818
153,Qatar,QAT,0.841,5.823428079,1.145564169,74,1.399999976,0
154,Romania,ROU,45.607,60.44863713,38.44992873,637,25.39999962,28.91866922
155,Russian,RUS,26.076,13.24062535,7.367911776,460,6.699999809,49.76857971
156,Rwanda,RWA,72.159,74.68585326,46.94865559,1212,null,18.62991488
57,Salvador,SLV,33.745,76.35135135,34.44337194,1784,20.73333359,13.42664093
157,Samoa,WSM,80.74,12.36749117,2.826855124,null,21.20000005,60.42402827
158,SanMarino,SMR,5.834,16.66666667,16.66666667,null,null,0
159,SaoTomeandPrincipe,STP,35.489,50.72916667,9.0625,3200,26.10000038,55.83333333
160,SaudiArabia,SAU,17.074,80.61394899,1.44889108,59,4.633333365,0.454484135
161,Senegal,SEN,56.607,46.32005402,17.22675254,686,46.09999847,43.59320625
162,Serbia,SRB,44.545,57.95792362,37.63625276,null,21.16666667,31.05190944
163,Seychelles,SYC,46.441,3.252747253,0.174550088,2330,3.599999905,88.73690078
164,SierraLeone,SLE,60.422,54.70559712,21.74161818,2526,null,39.52895539
165,Singapore,SGP,0,0.947666195,0.864487039,2497,null,23.16965202
166,SlovakRepublic,SVK,46.243,40.10356014,28.95732823,824,3.5,40.33022792
167,Slovenia,SVN,50.305,23.7388282,8.512082092,1162,7.699999809,61.93644489
168,SolomonIslands,SLB,78.124,3.8585209,0.702631892,3028,null,78.6638085
169,Somalia,SOM,60.922,70.33665955,1.647166343,282,null,10.51009022
211,Somaliland,SOL,null,null,null,null,null,null
170,SouthAfrica,ZAF,35.702,79.83002086,10.17594188,495,4.599999905,7.617736524
171,SouthSudan,SDS,81.409,null,null,900,null,null
172,Spain,ESP,20.645,53.86137822,25.04095287,636,4.199999809,36.62359714
173,SriLanka,LKA,81.68,43.69319088,20.46457237,1712,30.39999962,33.32482858
174,St.KittsandNevis,KNA,68.04,23.07692308,19.23076923,1427,null,42.30769231
175,St.Lucia,LCA,81.523,17.37704918,4.918032787,2301,null,33.57377049
176,St.Vincentandt_Grenadines,VCT,49.8,25.64102564,12.82051282,1583,null,69.23076923
177,Sudan,SDN,66.377,45.79768519,7.761083053,250,44.59999847,8.305211841
178,Suriname,SUR,33.915,0.533333333,0.363247863,2331,3.200000048,98.35512821
179,Swaziland,SWZ,78.685,71.04651163,10.1744186,788,null,33.26744186
180,Sweden,SWE,14.335,7.482447096,6.37135093,624,1.700000048,68.74990426
181,Switzerland,CHE,26.156,38.60967709,10.21864561,1537,3.200000048,31.44549043
182,Syria,SYR,42.745,75.81005282,25.39345423,252,13.19999981,2.673855035
183,Tajikistan,TJK,73.308,34.83138039,6.120796418,691,null,2.935124321
184,Tanzania,TZA,69.099,44.76179725,14.82652216,1071,66.90000153,53.2580718
185,Thailand,THA,50.826,43.27741784,32.05517169,1622,40.83333333,31.92272309
186,Timor-Leste,TLS,67.869,25.55480834,10.42367182,1500,null,48.39273705
187,Togo,TGO,60.531,70.2334988,47.55776184,1168,null,4.548630263
188,Tonga,TON,76.368,43.05555556,22.22222222,null,null,12.5
189,TrinidadandTobago,TTO,91.45,10.52631579,4.873294347,2200,null,44.76283301
190,Tunisia,TUN,33.355,63.99974253,18.32303467,207,14.80000019,6.503604531
191,Turkey,TUR,27.109,49.92398945,26.71846645,593,19.70000076,14.82244715
192,Turkmenistan,TKM,50.312,72.00646905,4.128274424,161,null,8.782159045
193,TurksandCaicosIslands,TCA,8.153,1.052631579,1.052631579,null,null,36.21052632
194,Tuvalu,TUV,41.218,60,null,null,null,33.33333333
195,Uganda,UGA,84.234,71.88809096,34.32741539,1180,null,12.38080989
196,Ukraine,UKR,30.518,71.24732445,56.12499712,565,14.80000019,16.55665263
197,UnitedArabEmirates,ARE,14.734,4.572966507,0.477272727,78,null,3.820813397
198,UnitedKingdom,GBR,17.655,71.30244286,25.54375233,1220,1.100000024,12.78468979
199,UnitedStates,USA,18.553,44.32255215,16.71195448,715,null,33.80953318
200,Uruguay,URY,4.848,82.06490687,13.00613263,1300,10,10.15186836
201,Uzbekistan,UZB,63.722,62.92900799,10.26484877,206,null,7.647531735
202,Vanuatu,VUT,74.183,15.34044299,1.640689089,null,null,36.09515997
203,Venezuela,VEN,11.059,24.48840769,3.061050961,2044,7.666666667,53.48472309
204,Vietnam,VNM,67.049,35.06853291,20.67662141,1821,47.10000038,46.3959751
205,VirginIslands_US,VIR,4.797,11.42857143,2.857142857,null,null,51.24761905
206,WestBankandGaza,PSX,24.974,43.52159468,7.502768549,402,11.29999987,1.523255814
212,WestSahara,SAH,null,null,null,null,null,null
207,Yemen,YEM,65.973,44.5972309,2.312000051,167,null,1.039831809
208,Zambia,ZMB,59.528,31.92940448,4.977199048,1020,52.20000076,66.09558913
209,Zimbabwe,ZWE,67.499,41.87669639,10.51225712,657,65.80000305,38.7726509
